Title,Description,Priority,Estimate,Team,Project,Status,Labels
Implement Groups Presentation (List & Create),"**Category**: Feature
**Priority**: P1
**Effort Estimate**: M
**Module Affected**: Groups
**Problem Statement**: No UI for Groups.
**Root Cause Analysis**: Incomplete feature.
**Suggested Direction**: Create `GroupListScreen`, `CreateGroupScreen`. Use `Bloc` for state.
**Code References**: `lib/features/groups/presentation/`
**Acceptance Criteria**: User can see list of groups and create a new one.
**Testing Recommendations**: Widget tests.
**Risk Level**: Low
**Sprint Recommendation**: Sprint 3
*Advisory: Suggested solution is directional. Developers must evaluate best frameworks, patterns, and implementation strategies before applying changes.*",Medium,3,Groups,Sprint Guru Audit,Todo,Feature
Implement Member Invitation Logic,"**Category**: Feature
**Priority**: P1
**Effort Estimate**: M
**Module Affected**: Groups
**Problem Statement**: Users cannot invite others to groups.
**Root Cause Analysis**: Missing feature.
**Suggested Direction**: Use Supabase Edge Functions or simple RLS insert to `group_invites` table.
**Code References**: `supabase/functions/invite-user/`
**Acceptance Criteria**: User B receives invite from User A.
**Testing Recommendations**: Integration test.
**Risk Level**: Medium
**Sprint Recommendation**: Sprint 3
*Advisory: Suggested solution is directional. Developers must evaluate best frameworks, patterns, and implementation strategies before applying changes.*",Medium,3,Groups,Sprint Guru Audit,Todo,Feature
Fix ExpenseModel Tight Coupling to Category,"**Category**: Tech Debt
**Priority**: P1
**Effort Estimate**: S
**Module Affected**: Expenses
**Problem Statement**: `ExpenseModel.toEntity` logic for fetching Category is complex and prone to errors if cache is missing.
**Root Cause Analysis**: Direct dependency in mapping logic.
**Suggested Direction**: Ensure `ExpenseModel` only stores `categoryId`. The Repository should handle the ""Join"" logic cleanly, possibly returning a `PopulatedExpense` or ensuring Category cache is hot.
**Code References**: `lib/features/expenses/data/models/expense_model.dart`
**Acceptance Criteria**: Simplified `toEntity` logic.
**Testing Recommendations**: Unit tests for mapping.
**Risk Level**: Low
**Sprint Recommendation**: Sprint 2
*Advisory: Suggested solution is directional. Developers must evaluate best frameworks, patterns, and implementation strategies before applying changes.*",Medium,1,Expenses,Sprint Guru Audit,Todo,TechDebt
Implement Cloud Backup (Snapshot),"**Category**: Feature
**Priority**: P1
**Effort Estimate**: M
**Module Affected**: Settings
**Problem Statement**: Current backup is local-only (JSON).
**Root Cause Analysis**: Local-first design.
**Suggested Direction**: Upload Hive box exports (JSON/Binary) to Supabase Storage bucket as a backup.
**Code References**: `lib/features/settings/data/repositories/data_management_repository_impl.dart`
**Acceptance Criteria**: ""Backup to Cloud"" button uploads file.
**Testing Recommendations**: Integration test.
**Risk Level**: Low
**Sprint Recommendation**: Sprint 2
*Advisory: Suggested solution is directional. Developers must evaluate best frameworks, patterns, and implementation strategies before applying changes.*",Medium,3,Settings,Sprint Guru Audit,Todo,Feature
Add Error Handling for Sync Failures,"**Category**: UX
**Priority**: P2
**Effort Estimate**: S
**Module Affected**: Sync
**Problem Statement**: If sync fails (e.g., conflict), user is unaware.
**Root Cause Analysis**: N/A (New feature).
**Suggested Direction**: Add a ""Sync Status"" indicator. If error, allow user to retry or view log.
**Code References**: `lib/core/widgets/sync_status_indicator.dart`
**Acceptance Criteria**: Visual cue for sync errors.
**Testing Recommendations**: Widget test.
**Risk Level**: Low
**Sprint Recommendation**: Sprint 2
*Advisory: Suggested solution is directional. Developers must evaluate best frameworks, patterns, and implementation strategies before applying changes.*",Low,1,Sync,Sprint Guru Audit,Todo,UX
Optimize ExpenseRepository Filtering,"**Category**: Performance
**Priority**: P2
**Effort Estimate**: S
**Module Affected**: Expenses
**Problem Statement**: `getExpenses` fetches *all* expenses then filters in Dart.
**Root Cause Analysis**: Hive limitations (No complex queries).
**Suggested Direction**: Maintain secondary indices (e.g., `expenses_by_account` Hive box) or optimize loop.
**Code References**: `lib/features/expenses/data/repositories/expense_repository_impl.dart`
**Acceptance Criteria**: Faster filtering on large datasets.
**Testing Recommendations**: Benchmark test.
**Risk Level**: Low
**Sprint Recommendation**: Sprint 4
*Advisory: Suggested solution is directional. Developers must evaluate best frameworks, patterns, and implementation strategies before applying changes.*",Low,1,Expenses,Sprint Guru Audit,Todo,Performance
Refactor DataManagementRepository,"**Category**: Refactoring
**Priority**: P2
**Effort Estimate**: S
**Module Affected**: Settings
**Problem Statement**: `DataManagementRepositoryImpl` has hardcoded box logic.
**Root Cause Analysis**: Initial simple implementation.
**Suggested Direction**: Inject a `LocalStorageService` abstraction instead of raw Hive boxes.
**Code References**: `lib/features/settings/data/repositories/data_management_repository_impl.dart`
**Acceptance Criteria**: Repository depends on interface.
**Testing Recommendations**: Unit tests.
**Risk Level**: Low
**Sprint Recommendation**: Sprint 4
*Advisory: Suggested solution is directional. Developers must evaluate best frameworks, patterns, and implementation strategies before applying changes.*",Low,1,Settings,Sprint Guru Audit,Todo,Refactoring
Add Unit Tests for Groups Feature,"**Category**: Testing
**Priority**: P2
**Effort Estimate**: S
**Module Affected**: Groups
**Problem Statement**: New feature requires tests.
**Root Cause Analysis**: N/A.
**Suggested Direction**: Add `group_bloc_test.dart`, `group_repository_test.dart`.
**Code References**: `test/features/groups/`
**Acceptance Criteria**: >80% coverage for groups.
**Testing Recommendations**: Unit tests.
**Risk Level**: Low
**Sprint Recommendation**: Sprint 3
*Advisory: Suggested solution is directional. Developers must evaluate best frameworks, patterns, and implementation strategies before applying changes.*",Low,1,Groups,Sprint Guru Audit,Todo,Testing
Add Integration Tests for Sync Logic,"**Category**: Testing
**Priority**: P2
**Effort Estimate**: M
**Module Affected**: Sync
**Problem Statement**: Sync is complex and critical.
**Root Cause Analysis**: N/A.
**Suggested Direction**: Use `integration_test` package. Simulate offline -> write -> online -> check server.
**Code References**: `integration_test/sync_test.dart`
**Acceptance Criteria**: Sync verified end-to-end.
**Testing Recommendations**: Integration tests.
**Risk Level**: Low
**Sprint Recommendation**: Sprint 2
*Advisory: Suggested solution is directional. Developers must evaluate best frameworks, patterns, and implementation strategies before applying changes.*",Low,3,Sync,Sprint Guru Audit,Todo,Testing
Add Offline Mode Indicator,"**Category**: UX
**Priority**: P2
**Effort Estimate**: XS
**Module Affected**: Core/UI
**Problem Statement**: User should know if they are offline.
**Root Cause Analysis**: N/A.
**Suggested Direction**: Listen to `connectivity_plus`. Show banner if offline.
**Code References**: `lib/core/widgets/offline_banner.dart`
**Acceptance Criteria**: Banner appears when airplane mode on.
**Testing Recommendations**: Widget test.
**Risk Level**: Low
**Sprint Recommendation**: Sprint 2
*Advisory: Suggested solution is directional. Developers must evaluate best frameworks, patterns, and implementation strategies before applying changes.*",Low,1,Core,Sprint Guru Audit,Todo,UX
Standardize Error Messages,"**Category**: UX
**Priority**: P2
**Effort Estimate**: S
**Module Affected**: Core
**Problem Statement**: Error messages are inconsistent.
**Root Cause Analysis**: Ad-hoc error handling.
**Suggested Direction**: Create `AppError` class with localized user-friendly messages.
**Code References**: `lib/core/error/failure.dart`
**Acceptance Criteria**: Consistent error UI.
**Testing Recommendations**: Review.
**Risk Level**: Low
**Sprint Recommendation**: Sprint 4
*Advisory: Suggested solution is directional. Developers must evaluate best frameworks, patterns, and implementation strategies before applying changes.*",Low,1,Core,Sprint Guru Audit,Todo,UX
Update README with Supabase Setup,"**Category**: Documentation
**Priority**: P3
**Effort Estimate**: XS
**Module Affected**: Docs
**Problem Statement**: README lacks backend setup info.
**Root Cause Analysis**: Missing backend.
**Suggested Direction**: Add ""Supabase Setup"" section (Env vars, migrations).
**Code References**: `README.md`
**Acceptance Criteria**: Clear instructions for new devs.
**Testing Recommendations**: N/A.
**Risk Level**: Low
**Sprint Recommendation**: Sprint 1
*Advisory: Suggested solution is directional. Developers must evaluate best frameworks, patterns, and implementation strategies before applying changes.*",Low,1,Docs,Sprint Guru Audit,Todo,Documentation
Add Supabase Usage Metrics to Dashboard,"**Category**: Analytics
**Priority**: P3
**Effort Estimate**: S
**Module Affected**: Dashboard
**Problem Statement**: No visibility into sync status on dashboard.
**Root Cause Analysis**: N/A.
**Suggested Direction**: Add ""Last Synced: 5m ago"" widget.
**Code References**: `lib/features/dashboard/presentation/pages/dashboard_page.dart`
**Acceptance Criteria**: Visual sync timestamp.
**Testing Recommendations**: Widget test.
**Risk Level**: Low
**Sprint Recommendation**: Sprint 4
*Advisory: Suggested solution is directional. Developers must evaluate best frameworks, patterns, and implementation strategies before applying changes.*",Low,1,Dashboard,Sprint Guru Audit,Todo,Analytics
